dom ; request ; size ; historical ; collinearity
2264.0 ; 40.0 ; 354.36328125 ; 42.70 ; 65.98
1646.0 ; 420.0 ; 11944.8466796875 ; 8.55 ; 70.47
1512.0 ; 44.0 ; 2718.6806640625 ; 36.11 ; 61.78
228.0 ; 14.0 ; 657.5400390625 ; 82.66 ; 65.38
240.0 ; 1.0 ; 100.33984375 ; 87.49 ; 55.06
2193.0 ; 373.0 ; 1975.818359375 ; 11.54 ; 49.83
465.0 ; 70.0 ; 69411.765625 ; 49.40 ; 74.47
835.0 ; 180.0 ; 752.494140625 ; 34.09 ; 45.98
2329.0 ; 330.0 ; 5989.7490234375 ; 6.18 ; 63.60
933.0 ; 96.0 ; 3684.3134765625 ; 31.57 ; 68.30
2433.0 ; 449.0 ; 1307.70703125 ; 13.24 ; 71.51
1895.0 ; 364.0 ; 6005.669921875 ; 7.76 ; 64.49
480.0 ; 22.0 ; 2808.734375 ; 62.96 ; 65.68
780.0 ; 14.0 ; 7124.8544921875 ; 50.50 ; 70.57
509.0 ; 38.0 ; 2071.380859375 ; 60.54 ; 68.30
4448.0 ; 565.0 ; 54837.1796875 ; 4.68 ; 71.31
636.0 ; 114.0 ; 618.16015625 ; 46.83 ; 46.67
3007.0 ; 182.0 ; 1689.0703125 ; 14.28 ; 51.70
3771.0 ; 144.0 ; 4519.2978515625 ; 11.71 ; 39.01
1986.0 ; 389.0 ; 4342.791015625 ; 8.31 ; 61.78
2164.0 ; 228.0 ; 1487.4443359375 ; 14.66 ; 43.60
1367.0 ; 82.0 ; 2513.8857421875 ; 29.27 ; 53.83
1124.0 ; 18.0 ; 2824.1279296875 ; 45.51 ; 59.70
714.0 ; 195.0 ; 2531.8818359375 ; 29.91 ; 60.59
152.0 ; 37.0 ; 721.505859375 ; 80.76 ; 69.23
1658.0 ; 312.0 ; 6404.4208984375 ; 9.05 ; 61.93
2677.0 ; 18.0 ; 307.48046875 ; 46.23 ; 69.68
3657.0 ; 187.0 ; 14935.7548828125 ; 7.49 ; 70.07
4012.0 ; 1052.0 ; 7209.06640625 ; 4.90 ; 70.91
1047.0 ; 56.0 ; 1471.09375 ; 42.98 ; 55.75
2139.0 ; 465.0 ; 2938.6630859375 ; 9.39 ; 50.22
1319.0 ; 126.0 ; 2727.330078125 ; 22.38 ; 53.38
3139.0 ; 72.0 ; 8063.5 ; 21.25 ; 62.17
1870.0 ; 643.0 ; 4322.52734375 ; 8.64 ; 58.12
428.0 ; 36.0 ; 7319.66796875 ; 59.34 ; 76.20
58.0 ; 12.0 ; 122.63671875 ; 92.03 ; 62.77
3380.0 ; 401.0 ; 4335.6982421875 ; 6.49 ; 46.72
1604.0 ; 58.0 ; 11715.6572265625 ; 28.45 ; 66.96
71.0 ; 27.0 ; 4689.197265625 ; 75.46 ; 74.47
1472.0 ; 55.0 ; 983.5625 ; 39.91 ; 62.02
3919.0 ; 240.0 ; 4946.5185546875 ; 7.03 ; 58.77
34.0 ; 2.0 ; 13.025390625 ; 95.62 ; 64.54
96.0 ; 13.0 ; 56.1708984375 ; 90.15 ; 61.53
339.0 ; 64.0 ; 3706.8505859375 ; 58.55 ; 70.17
466.0 ; 82.0 ; 1278.505859375 ; 55.37 ; 66.12
1374.0 ; 355.0 ; 333.259765625 ; 24.19 ; 59.56
87.0 ; 28.0 ; 190.6474609375 ; 87.20 ; 58.12
1786.0 ; 510.0 ; 37086.76171875 ; 7.39 ; 75.41
871.0 ; 51.0 ; 2083.0986328125 ; 45.72 ; 56.15
71.0 ; 27.0 ; 4686.697265625 ; 75.46 ; 74.47
4132.0 ; 668.0 ; 2995.9765625 ; 7.95 ; 57.58
2005.0 ; 485.0 ; 9808.3564453125 ; 6.65 ; 69.23
167.0 ; 47.0 ; 67.0791015625 ; 81.49 ; 59.85
682.0 ; 133.0 ; 1975.544921875 ; 36.64 ; 64.79
434.0 ; 28.0 ; 581.1142578125 ; 72.34 ; 57.78
362.0 ; 20.0 ; 87.40234375 ; 79.33 ; 69.83
1066.0 ; 12.0 ; 204.0458984375 ; 57.80 ; 63.06
1407.0 ; 440.0 ; 7485.44921875 ; 10.69 ; 70.62
425.0 ; 109.0 ; 2398.86328125 ; 48.45 ; 67.06
2057.0 ; 337.0 ; 1614.322265625 ; 13.34 ; 51.70
446.0 ; 47.0 ; 756.9619140625 ; 66.90 ; 60.30
2204.0 ; 65.0 ; 7576.3740234375 ; 24.02 ; 65.78
45.0 ; 11.0 ; 17.6484375 ; 93.86 ; 61.48
1160.0 ; 193.0 ; 20912.9375 ; 15.88 ; 79.65
96.0 ; 13.0 ; 56.1611328125 ; 90.15 ; 61.53
1324.0 ; 520.0 ; 8258.7734375 ; 11.41 ; 65.83
5129.0 ; 288.0 ; 2816.3037109375 ; 8.42 ; 51.70
96.0 ; 13.0 ; 56.2109375 ; 90.15 ; 61.53
254.0 ; 54.0 ; 5366.525390625 ; 63.02 ; 75.41
3605.0 ; 193.0 ; 8175.56640625 ; 7.23 ; 56.15
75.0 ; 1.0 ; 24.1162109375 ; 93.20 ; 64.94
1148.0 ; 437.0 ; 3610.2333984375 ; 16.08 ; 65.73
3079.0 ; 80.0 ; 2201.380859375 ; 24.43 ; 58.37
349.0 ; 108.0 ; 2760.2353515625 ; 51.01 ; 70.47
1405.0 ; 234.0 ; 3724.3740234375 ; 13.78 ; 67.46
92.0 ; 12.0 ; 55.6220703125 ; 90.40 ; 63.90
710.0 ; 48.0 ; 1040.962890625 ; 55.24 ; 61.43
2073.0 ; 125.0 ; 1397.8818359375 ; 21.54 ; 55.26
2524.0 ; 148.0 ; 5794.861328125 ; 10.64 ; 56.15
96.0 ; 13.0 ; 56.2158203125 ; 90.15 ; 61.53
3212.0 ; 44.0 ; 479.583984375 ; 40.36 ; 65.98
7576.0 ; 801.0 ; 13001.91796875 ; 4.72 ; 53.93
315.0 ; 6.0 ; 43.73046875 ; 83.54 ; 69.68
38.0 ; 2.0 ; 25.0078125 ; 95.34 ; 56.20
3139.0 ; 73.0 ; 3331.7744140625 ; 23.65 ; 47.90
2193.0 ; 361.0 ; 8037.44921875 ; 6.02 ; 65.83
1781.0 ; 451.0 ; 4474.5732421875 ; 9.02 ; 55.01
96.0 ; 13.0 ; 56.177734375 ; 90.15 ; 61.53
1406.0 ; 131.0 ; 1419.697265625 ; 24.80 ; 42.57
5645.0 ; 527.0 ; 17166.29296875 ; 4.84 ; 68.79
1853.0 ; 318.0 ; 5326.53125 ; 8.17 ; 64.79
62.0 ; 6.0 ; 60.767578125 ; 92.81 ; 49.19
115.0 ; 30.0 ; 552.20703125 ; 84.15 ; 74.47
96.0 ; 13.0 ; 56.2041015625 ; 90.15 ; 61.53
2214.0 ; 121.0 ; 4736.453125 ; 15.08 ; 54.77
418.0 ; 114.0 ; 1044.73046875 ; 53.16 ; 55.01
344.0 ; 65.0 ; 8569.6865234375 ; 55.94 ; 75.41
5638.0 ; 527.0 ; 17286.15234375 ; 4.84 ; 68.79
79.0 ; 8.0 ; 30.0546875 ; 91.45 ; 62.07
1724.0 ; 247.0 ; 13161.3134765625 ; 8.79 ; 69.58
1247.0 ; 193.0 ; 11580.0830078125 ; 14.61 ; 70.81
1969.0 ; 115.0 ; 5246.8759765625 ; 16.43 ; 62.17
96.0 ; 13.0 ; 56.18359375 ; 90.15 ; 61.53
2511.0 ; 736.0 ; 3635.8408203125 ; 7.03 ; 72.35
