dom ; request ; size ; historical ; distance
478 ; 64 ; 402.48 ; 63.42 ; 98.46
1030 ; 66 ; 1276.35 ; 41.81 ; 89.50
116 ; 11 ; 115.67 ; 89.47 ; 99.89
465 ; 87 ; 3779.24 ; 48.20 ; 43.49
430 ; 28 ; 761.68 ; 71.52 ; 97.02
409 ; 18 ; 57.92 ; 77.85 ; 99.33
753 ; 72 ; 1420.46 ; 46.38 ; 89.91
1179 ; 209 ; 1751.37 ; 21.27 ; 82.47
709 ; 111 ; 1093.97 ; 42.25 ; 93.33
951 ; 73 ; 3126.83 ; 36.43 ; 58.37
727 ; 47 ; 89.62 ; 59.96 ; 97.90
972 ; 44 ; 564.37 ; 51.94 ; 95.07
336 ; 73 ; 2855.93 ; 57.82 ; 67.77
267 ; 50 ; 1697.54 ; 69.11 ; 88.49
94 ; 13 ; 870.02 ; 85.89 ; 97.02
166 ; 22 ; 121.90 ; 86.23 ; 99.83
319 ; 45 ; 1659.47 ; 68.37 ; 88.87
596 ; 101 ; 1585.24 ; 45.36 ; 88.79
384 ; 73 ; 832.51 ; 63.01 ; 96.71
573 ; 31 ; 135.24 ; 68.41 ; 98.65
241 ; 29 ; 40.12 ; 82.89 ; 99.76
1183 ; 115 ; 1277.76 ; 30.23 ; 88.14
521 ; 80 ; 1145.51 ; 54.17 ; 93.81
98 ; 4 ; 265.54 ; 90.15 ; 99.69
400 ; 31 ; 1941.25 ; 66.91 ; 84.69
798 ; 133 ; 3211.08 ; 30.42 ; 57.29
228 ; 5 ; 13.90 ; 87.22 ; 99.80
932 ; 49 ; 1917.19 ; 45.27 ; 82.29
287 ; 44 ; 821.51 ; 73.91 ; 97.04
62 ; 11 ; 812.00 ; 88.19 ; 97.42
150 ; 6 ; 174.61 ; 88.78 ; 99.79
526 ; 126 ; 1297.88 ; 45.82 ; 92.30
359 ; 18 ; 379.90 ; 78.31 ; 98.93
551 ; 170 ; 1748.67 ; 39.10 ; 86.79
1016 ; 64 ; 1774.90 ; 40.48 ; 83.69
561 ; 6 ; 456.19 ; 71.20 ; 97.96
1010 ; 107 ; 1356.35 ; 33.94 ; 88.82
446 ; 7 ; 836.12 ; 73.68 ; 96.50
543 ; 120 ; 2371.33 ; 42.13 ; 76.89
134 ; 27 ; 699.26 ; 83.34 ; 98.02
177 ; 52 ; 1874.97 ; 71.19 ; 86.17
910 ; 94 ; 1171.07 ; 39.08 ; 91.40
913 ; 130 ; 1202.76 ; 33.67 ; 91.05
90 ; 9 ; 12.11 ; 91.09 ; 99.97
190 ; 36 ; 1269.59 ; 76.85 ; 93.58
615 ; 17 ; 812.02 ; 65.76 ; 95.96
193 ; 24 ; 321.73 ; 84.01 ; 99.45
289 ; 1 ; 160.36 ; 85.27 ; 99.57
262 ; 59 ; 1805.80 ; 66.76 ; 87.02
372 ; 45 ; 642.58 ; 71.14 ; 97.84
409 ; 12 ; 671.03 ; 75.51 ; 97.59
384 ; 3 ; 77.98 ; 80.83 ; 99.40
173 ; 11 ; 117.36 ; 87.70 ; 99.83
1147 ; 119 ; 926.61 ; 32.04 ; 91.48
1065 ; 41 ; 468.11 ; 51.32 ; 94.72
476 ; 67 ; 499.64 ; 62.27 ; 98.13
1271 ; 104 ; 1840.88 ; 28.25 ; 80.46
547 ; 57 ; 333.01 ; 62.65 ; 98.39
272 ; 45 ; 1453.44 ; 71.10 ; 91.48
1091 ; 78 ; 1551.27 ; 36.84 ; 85.97
968 ; 95 ; 1686.63 ; 35.32 ; 85.23
619 ; 103 ; 3996.78 ; 39.11 ; 36.24
311 ; 41 ; 271.43 ; 76.56 ; 99.33
161 ; 41 ; 1569.74 ; 75.47 ; 90.29
736 ; 24 ; 302.49 ; 63.29 ; 97.53
1154 ; 171 ; 3559.89 ; 19.40 ; 45.33
134 ; 13 ; 252.27 ; 87.99 ; 99.68
487 ; 74 ; 1838.53 ; 53.86 ; 85.89
794 ; 53 ; 668.90 ; 53.54 ; 95.79
124 ; 11 ; 296.87 ; 88.33 ; 99.60
313 ; 42 ; 271.38 ; 76.27 ; 99.32
756 ; 76 ; 1129.54 ; 46.85 ; 92.78
576 ; 101 ; 929.05 ; 49.24 ; 95.31
844 ; 60 ; 1096.24 ; 48.20 ; 92.53
172 ; 12 ; 573.25 ; 85.27 ; 98.60
773 ; 204 ; 1403.02 ; 31.37 ; 89.84
522 ; 60 ; 1708.74 ; 56.11 ; 87.55
857 ; 51 ; 2465.63 ; 45.03 ; 73.45
1118 ; 108 ; 4355.84 ; 25.46 ; 21.18
351 ; 14 ; 193.34 ; 80.19 ; 99.37
338 ; 73 ; 1728.39 ; 60.75 ; 87.90
642 ; 27 ; 862.65 ; 62.83 ; 95.49
490 ; 9 ; 55.22 ; 75.72 ; 99.05
58 ; 15 ; 525.54 ; 89.60 ; 98.91
350 ; 44 ; 1929.43 ; 66.36 ; 85.01
703 ; 119 ; 616.65 ; 43.91 ; 96.54
57 ; 8 ; 305.21 ; 91.74 ; 99.62
677 ; 32 ; 3651.79 ; 52.50 ; 46.26
375 ; 60 ; 1063.18 ; 65.18 ; 95.04
1035 ; 103 ; 4621.42 ; 27.50 ; 12.59
61 ; 10 ; 359.51 ; 90.85 ; 99.48
280 ; 16 ; 171.57 ; 82.90 ; 99.58
573 ; 122 ; 3187.02 ; 39.16 ; 59.10
590 ; 30 ; 2248.10 ; 58.46 ; 78.95
597 ; 114 ; 1713.82 ; 42.91 ; 87.12
105 ; 26 ; 1179.90 ; 81.85 ; 94.53
351 ; 5 ; 30.63 ; 82.24 ; 99.52
810 ; 104 ; 2667.82 ; 34.83 ; 69.68
49 ; 10 ; 387.58 ; 91.78 ; 99.41
1242 ; 116 ; 3017.32 ; 24.01 ; 58.47
528 ; 66 ; 1254.95 ; 56.38 ; 92.76
481 ; 26 ; 894.40 ; 69.01 ; 95.98
620 ; 56 ; 1816.04 ; 52.95 ; 85.64
297 ; 13 ; 156.12 ; 82.74 ; 99.56
615 ; 51 ; 450.72 ; 60.92 ; 97.73
801 ; 121 ; 1526.13 ; 36.16 ; 88.37
550 ; 83 ; 276.22 ; 57.01 ; 98.50
730 ; 68 ; 424.00 ; 53.16 ; 97.21
294 ; 13 ; 346.52 ; 81.94 ; 99.19
230 ; 84 ; 971.09 ; 66.18 ; 96.09
313 ; 57 ; 1287.81 ; 67.37 ; 93.15
465 ; 87 ; 3777.40 ; 48.20 ; 43.55
154 ; 15 ; 21.65 ; 88.37 ; 99.90
150 ; 11 ; 848.49 ; 84.60 ; 97.11
124 ; 14 ; 180.96 ; 88.50 ; 99.81
1236 ; 59 ; 1825.22 ; 37.82 ; 81.06
1011 ; 87 ; 1873.03 ; 35.27 ; 82.32
908 ; 31 ; 883.23 ; 54.32 ; 93.75
960 ; 92 ; 3298.95 ; 32.17 ; 53.98
92 ; 4 ; 22.54 ; 91.62 ; 99.96
700 ; 127 ; 2967.20 ; 34.41 ; 63.73
541 ; 93 ; 1457.41 ; 49.35 ; 90.55
481 ; 149 ; 1738.08 ; 43.49 ; 87.24
1135 ; 107 ; 2538.41 ; 27.82 ; 69.84
334 ; 16 ; 397.66 ; 79.60 ; 98.95
83 ; 12 ; 596.07 ; 87.84 ; 98.59
1295 ; 100 ; 3865.40 ; 24.67 ; 35.23
1291 ; 111 ; 866.25 ; 31.45 ; 90.54
454 ; 5 ; 88.51 ; 77.54 ; 99.17
502 ; 28 ; 2620.14 ; 61.39 ; 72.27
74 ; 3 ; 31.63 ; 92.29 ; 99.97
316 ; 11 ; 1839.76 ; 74.07 ; 86.43
198 ; 69 ; 1738.25 ; 66.93 ; 88.06
496 ; 9 ; 849.21 ; 71.26 ; 96.23
766 ; 9 ; 609.69 ; 63.03 ; 96.27
609 ; 109 ; 2625.16 ; 40.57 ; 71.66
555 ; 63 ; 711.65 ; 58.88 ; 96.81
312 ; 84 ; 759.64 ; 64.13 ; 97.35
856 ; 140 ; 1880.11 ; 31.20 ; 83.30
794 ; 36 ; 3064.34 ; 48.97 ; 60.96
472 ; 87 ; 3777.36 ; 47.90 ; 43.52
629 ; 44 ; 517.79 ; 61.74 ; 97.41
185 ; 10 ; 1346.85 ; 81.06 ; 92.80
472 ; 87 ; 3777.39 ; 47.90 ; 43.52
941 ; 97 ; 1865.73 ; 34.90 ; 82.95
935 ; 59 ; 859.04 ; 47.54 ; 93.71
694 ; 60 ; 1029.91 ; 52.94 ; 93.98
595 ; 140 ; 3946.35 ; 35.39 ; 37.88
980 ; 76 ; 2654.11 ; 36.08 ; 68.80
835 ; 18 ; 580.82 ; 60.01 ; 95.97
622 ; 84 ; 515.16 ; 52.89 ; 97.43
783 ; 164 ; 4004.02 ; 27.27 ; 35.06
533 ; 33 ; 156.09 ; 69.46 ; 98.79
335 ; 44 ; 512.15 ; 73.64 ; 98.53
973 ; 73 ; 2227.37 ; 37.85 ; 76.97
921 ; 88 ; 3076.08 ; 34.13 ; 59.81
478 ; 75 ; 2293.03 ; 52.65 ; 78.61
1012 ; 28 ; 1004.46 ; 52.03 ; 92.08
576 ; 139 ; 2064.54 ; 39.55 ; 82.03
346 ; 86 ; 1247.49 ; 59.76 ; 93.44
443 ; 54 ; 1297.12 ; 62.56 ; 92.67
445 ; 69 ; 1808.66 ; 56.80 ; 86.47
474 ; 17 ; 493.31 ; 73.01 ; 98.18
245 ; 19 ; 45.25 ; 84.45 ; 99.76
1090 ; 102 ; 757.68 ; 36.26 ; 93.10
1081 ; 109 ; 1837.75 ; 30.34 ; 82.25
338 ; 5 ; 34.35 ; 82.76 ; 99.55
279 ; 24 ; 1444.12 ; 75.08 ; 91.57
334 ; 35 ; 3196.40 ; 66.11 ; 59.76
1105 ; 130 ; 2563.17 ; 25.18 ; 69.59
290 ; 10 ; 104.81 ; 83.69 ; 99.63
810 ; 44 ; 2159.92 ; 48.73 ; 79.26
662 ; 37 ; 677.67 ; 61.22 ; 96.50
311 ; 41 ; 271.58 ; 76.56 ; 99.33
555 ; 11 ; 650.88 ; 69.73 ; 97.15
113 ; 7 ; 46.02 ; 90.47 ; 99.94
176 ; 45 ; 1475.86 ; 74.43 ; 91.39
479 ; 15 ; 341.00 ; 73.94 ; 98.65
270 ; 7 ; 79.57 ; 84.98 ; 99.69
166 ; 16 ; 374.65 ; 85.98 ; 99.34
153 ; 24 ; 595.93 ; 83.88 ; 98.52
549 ; 32 ; 100.20 ; 69.34 ; 98.78
102 ; 24 ; 462.72 ; 86.12 ; 99.12
489 ; 35 ; 774.67 ; 67.64 ; 96.73
763 ; 133 ; 603.63 ; 40.42 ; 96.24
1217 ; 146 ; 2409.48 ; 22.22 ; 71.53
217 ; 18 ; 9.66 ; 85.83 ; 99.81
154 ; 21 ; 1324.96 ; 80.55 ; 93.07
134 ; 27 ; 699.53 ; 83.34 ; 98.02
237 ; 36 ; 12.43 ; 81.87 ; 99.78
770 ; 60 ; 1740.80 ; 47.41 ; 85.87
731 ; 205 ; 1661.71 ; 31.48 ; 87.00
109 ; 7 ; 64.33 ; 90.48 ; 99.94
456 ; 64 ; 1262.35 ; 59.79 ; 92.97
555 ; 45 ; 440.08 ; 64.64 ; 98.04
817 ; 18 ; 906.55 ; 58.73 ; 94.20
784 ; 89 ; 996.99 ; 44.12 ; 93.70
502 ; 38 ; 959.70 ; 65.49 ; 95.43
533 ; 132 ; 2416.63 ; 40.93 ; 76.08
1064 ; 201 ; 2970.75 ; 20.27 ; 61.05
381 ; 87 ; 1725.78 ; 56.06 ; 87.80
807 ; 88 ; 289.06 ; 47.44 ; 97.11
295 ; 38 ; 77.40 ; 78.84 ; 99.63
372 ; 10 ; 77.16 ; 80.44 ; 99.44
500 ; 28 ; 2534.24 ; 61.65 ; 74.01
77 ; 7 ; 76.16 ; 91.37 ; 99.95
1031 ; 88 ; 1513.32 ; 36.08 ; 86.91
571 ; 24 ; 826.55 ; 66.15 ; 96.07
658 ; 59 ; 175.67 ; 58.87 ; 98.18
600 ; 92 ; 1764.89 ; 46.08 ; 86.43
625 ; 36 ; 3404.59 ; 53.81 ; 53.32
469 ; 82 ; 77.25 ; 61.52 ; 99.09
117 ; 11 ; 302.72 ; 88.51 ; 99.59
59 ; 5 ; 372.77 ; 91.60 ; 99.45
55 ; 12 ; 239.62 ; 91.72 ; 99.76
394 ; 36 ; 1121.45 ; 69.61 ; 94.49
105 ; 4 ; 12.74 ; 91.29 ; 99.96
690 ; 113 ; 2882.65 ; 36.69 ; 65.73
467 ; 87 ; 3777.37 ; 48.11 ; 43.54
609 ; 15 ; 340.13 ; 68.85 ; 98.10
833 ; 191 ; 2409.75 ; 26.92 ; 74.54
465 ; 87 ; 3777.43 ; 48.20 ; 43.55
94 ; 6 ; 87.46 ; 90.92 ; 99.94
506 ; 21 ; 794.62 ; 69.38 ; 96.54
208 ; 6 ; 28.96 ; 87.68 ; 99.83
847 ; 16 ; 846.81 ; 58.57 ; 94.41
715 ; 47 ; 2845.99 ; 49.22 ; 66.45
474 ; 89 ; 1081.44 ; 54.62 ; 94.54
1111 ; 156 ; 1502.40 ; 26.08 ; 86.30
270 ; 27 ; 1590.27 ; 74.28 ; 89.86
519 ; 43 ; 1812.07 ; 59.90 ; 86.15
448 ; 9 ; 264.52 ; 76.39 ; 98.95
759 ; 57 ; 2358.25 ; 46.54 ; 76.08
190 ; 60 ; 926.49 ; 73.06 ; 96.50
882 ; 53 ; 2306.33 ; 44.37 ; 76.24
1216 ; 35 ; 434.97 ; 50.35 ; 93.50
355 ; 22 ; 642.58 ; 76.40 ; 97.90
278 ; 16 ; 2553.09 ; 72.92 ; 74.31
95 ; 15 ; 367.07 ; 88.32 ; 99.44
367 ; 83 ; 550.50 ; 63.19 ; 98.27
676 ; 155 ; 898.17 ; 39.57 ; 94.98
1058 ; 84 ; 927.36 ; 39.16 ; 92.26
935 ; 31 ; 830.19 ; 53.97 ; 93.91
115 ; 6 ; 42.93 ; 90.56 ; 99.94
667 ; 43 ; 3900.13 ; 50.29 ; 39.01
452 ; 95 ; 2247.98 ; 49.91 ; 79.48
302 ; 19 ; 1342.02 ; 75.48 ; 92.63
450 ; 139 ; 1093.52 ; 48.58 ; 94.48
301 ; 28 ; 926.53 ; 76.05 ; 96.30
285 ; 47 ; 1283.54 ; 70.90 ; 93.26
805 ; 93 ; 2267.93 ; 37.77 ; 77.41
629 ; 26 ; 492.70 ; 65.50 ; 97.51
865 ; 145 ; 711.11 ; 35.91 ; 95.03
322 ; 20 ; 1446.89 ; 74.01 ; 91.44
471 ; 21 ; 556.93 ; 72.13 ; 97.93
1233 ; 172 ; 1960.95 ; 21.37 ; 78.98
388 ; 28 ; 2021.98 ; 67.72 ; 83.48
1298 ; 92 ; 1207.28 ; 32.66 ; 87.73
391 ; 23 ; 772.45 ; 74.00 ; 97.08
639 ; 162 ; 942.54 ; 40.12 ; 94.85
830 ; 41 ; 211.11 ; 57.75 ; 97.14
1310 ; 87 ; 1635.96 ; 31.55 ; 82.86
315 ; 84 ; 681.56 ; 64.44 ; 97.78
46 ; 12 ; 131.20 ; 93.02 ; 99.92
361 ; 27 ; 656.31 ; 75.20 ; 97.81
311 ; 41 ; 271.44 ; 76.56 ; 99.33
177 ; 2 ; 79.38 ; 88.94 ; 99.85
295 ; 38 ; 77.40 ; 78.84 ; 99.63
273 ; 14 ; 543.41 ; 81.58 ; 98.56
565 ; 129 ; 1977.70 ; 41.25 ; 83.46
765 ; 52 ; 2086.17 ; 48.29 ; 80.76
1023 ; 76 ; 1603.12 ; 38.32 ; 85.89
816 ; 172 ; 855.17 ; 34.44 ; 94.44
955 ; 180 ; 3673.11 ; 22.44 ; 43.77
518 ; 112 ; 1186.32 ; 48.54 ; 93.42
727 ; 63 ; 1687.97 ; 48.18 ; 86.83
640 ; 76 ; 336.41 ; 54.86 ; 97.94
823 ; 44 ; 1004.00 ; 53.07 ; 93.43
505 ; 46 ; 957.19 ; 63.59 ; 95.43
759 ; 69 ; 1395.32 ; 46.98 ; 90.15
541 ; 140 ; 969.99 ; 45.37 ; 95.12
817 ; 108 ; 2024.35 ; 35.68 ; 81.39
492 ; 47 ; 1006.44 ; 63.63 ; 95.10
864 ; 51 ; 1225.83 ; 49.23 ; 91.23
280 ; 54 ; 322.41 ; 74.49 ; 99.28
687 ; 51 ; 3121.34 ; 48.72 ; 60.20
692 ; 50 ; 858.58 ; 56.29 ; 95.25
678 ; 120 ; 676.43 ; 44.25 ; 96.37
636 ; 19 ; 254.45 ; 67.65 ; 98.17
861 ; 73 ; 908.28 ; 45.78 ; 93.88
776 ; 68 ; 1829.66 ; 45.01 ; 84.60
304 ; 1 ; 172.92 ; 84.62 ; 99.52
760 ; 40 ; 262.94 ; 59.66 ; 97.47
319 ; 40 ; 1432.58 ; 70.45 ; 91.60
280 ; 25 ; 806.39 ; 78.07 ; 97.16
917 ; 130 ; 1584.73 ; 31.86 ; 86.88
721 ; 15 ; 766.41 ; 62.77 ; 95.69
665 ; 60 ; 1826.95 ; 50.38 ; 85.26
301 ; 21 ; 1101.57 ; 76.36 ; 94.92
595 ; 70 ; 2727.69 ; 48.09 ; 69.62
674 ; 50 ; 1924.58 ; 52.11 ; 83.79
138 ; 14 ; 263.04 ; 87.69 ; 99.66
375 ; 55 ; 41.79 ; 71.79 ; 99.43
731 ; 31 ; 280.41 ; 62.27 ; 97.61
476 ; 29 ; 175.45 ; 72.45 ; 98.99
179 ; 49 ; 311.88 ; 79.36 ; 99.49
942 ; 123 ; 4323.65 ; 26.78 ; 23.66
1008 ; 30 ; 442.48 ; 54.77 ; 95.28
579 ; 73 ; 617.60 ; 56.20 ; 97.19
181 ; 6 ; 238.10 ; 87.47 ; 99.65
378 ; 82 ; 768.26 ; 61.74 ; 97.12
383 ; 30 ; 1531.67 ; 69.34 ; 90.29
343 ; 29 ; 476.62 ; 76.57 ; 98.65
131 ; 8 ; 37.52 ; 89.86 ; 99.93
1265 ; 42 ; 1177.00 ; 44.30 ; 88.36
331 ; 112 ; 671.51 ; 59.10 ; 97.77
531 ; 49 ; 960.58 ; 61.80 ; 95.30
527 ; 54 ; 3369.94 ; 53.44 ; 54.67
78 ; 7 ; 46.83 ; 91.51 ; 99.97
903 ; 92 ; 790.49 ; 41.60 ; 94.36
692 ; 40 ; 486.01 ; 60.64 ; 97.21
444 ; 47 ; 819.43 ; 66.64 ; 96.61
995 ; 135 ; 4444.08 ; 24.24 ; 19.14
670 ; 47 ; 838.03 ; 57.82 ; 95.51
817 ; 21 ; 326.74 ; 61.36 ; 96.98
64 ; 4 ; 266.05 ; 91.81 ; 99.71
1190 ; 139 ; 4117.79 ; 20.72 ; 28.36
581 ; 14 ; 1274.14 ; 65.09 ; 92.36
429 ; 24 ; 368.32 ; 74.41 ; 98.75
769 ; 126 ; 1147.62 ; 38.16 ; 92.50
1106 ; 93 ; 1577.71 ; 33.53 ; 85.51
799 ; 39 ; 2310.34 ; 49.75 ; 76.72
140 ; 14 ; 313.26 ; 87.39 ; 99.54
720 ; 16 ; 719.56 ; 62.90 ; 95.96
529 ; 121 ; 2613.61 ; 42.01 ; 72.24
1228 ; 108 ; 2561.32 ; 26.19 ; 68.53
1154 ; 113 ; 2978.68 ; 25.84 ; 60.20
404 ; 23 ; 693.23 ; 73.88 ; 97.49
1135 ; 178 ; 1969.21 ; 22.58 ; 79.75
1107 ; 50 ; 556.22 ; 48.03 ; 94.01
589 ; 54 ; 88.47 ; 63.00 ; 98.61
607 ; 70 ; 709.96 ; 55.27 ; 96.58
280 ; 25 ; 806.38 ; 78.07 ; 97.16
596 ; 50 ; 373.28 ; 62.25 ; 98.06
1064 ; 40 ; 2082.28 ; 44.17 ; 78.69
58 ; 6 ; 288.61 ; 91.99 ; 99.66
589 ; 58 ; 3209.05 ; 50.35 ; 58.52
726 ; 102 ; 2668.78 ; 37.60 ; 70.16
633 ; 25 ; 553.95 ; 65.21 ; 97.24
670 ; 30 ; 1356.41 ; 58.80 ; 91.08
250 ; 64 ; 976.08 ; 69.74 ; 96.03
1009 ; 64 ; 2237.48 ; 39.17 ; 76.52
366 ; 19 ; 929.51 ; 74.88 ; 96.11
202 ; 15 ; 77.39 ; 86.44 ; 99.82
336 ; 16 ; 689.29 ; 77.94 ; 97.71
570 ; 94 ; 1299.42 ; 48.78 ; 92.12
656 ; 174 ; 1944.88 ; 34.40 ; 83.47
461 ; 54 ; 908.11 ; 63.77 ; 95.95
1027 ; 153 ; 996.33 ; 30.23 ; 91.93
114 ; 12 ; 948.28 ; 85.00 ; 96.45
378 ; 77 ; 770.75 ; 62.77 ; 97.11
539 ; 31 ; 273.16 ; 69.03 ; 98.57
111 ; 6 ; 7.81 ; 90.88 ; 99.95
548 ; 53 ; 680.48 ; 61.70 ; 97.02
930 ; 173 ; 1062.10 ; 30.50 ; 92.12
74 ; 5 ; 15.98 ; 92.13 ; 99.98
694 ; 73 ; 1789.93 ; 46.56 ; 85.62
480 ; 82 ; 2334.35 ; 51.01 ; 77.85
755 ; 162 ; 1141.04 ; 35.31 ; 92.61
140 ; 5 ; 182.43 ; 89.17 ; 99.79
540 ; 31 ; 1074.91 ; 64.74 ; 94.36
333 ; 14 ; 94.71 ; 81.46 ; 99.53
603 ; 48 ; 3567.98 ; 51.72 ; 48.98
620 ; 153 ; 2302.10 ; 36.05 ; 77.77
864 ; 48 ; 1211.85 ; 50.01 ; 91.36
472 ; 87 ; 3777.44 ; 47.90 ; 43.52
675 ; 120 ; 1105.36 ; 42.05 ; 93.41
368 ; 40 ; 954.62 ; 70.74 ; 95.92
527 ; 45 ; 3679.23 ; 55.22 ; 46.18
148 ; 14 ; 164.62 ; 87.86 ; 99.81
463 ; 23 ; 1099.02 ; 69.22 ; 94.46
566 ; 55 ; 2458.45 ; 53.33 ; 75.20
472 ; 87 ; 3777.49 ; 47.90 ; 43.52
537 ; 53 ; 178.16 ; 64.72 ; 98.74
575 ; 35 ; 139.06 ; 67.55 ; 98.63
730 ; 11 ; 1513.89 ; 59.30 ; 89.00
472 ; 87 ; 3777.40 ; 47.90 ; 43.52
639 ; 65 ; 3015.37 ; 47.19 ; 62.97
306 ; 37 ; 1041.57 ; 73.51 ; 95.40
342 ; 59 ; 494.31 ; 69.87 ; 98.58
1105 ; 53 ; 1065.29 ; 44.60 ; 90.81
633 ; 28 ; 3010.80 ; 55.66 ; 63.13
462 ; 23 ; 748.70 ; 71.12 ; 96.98
529 ; 19 ; 218.88 ; 71.81 ; 98.72
1037 ; 102 ; 895.13 ; 36.50 ; 92.65
823 ; 129 ; 2161.95 ; 32.30 ; 79.09
1093 ; 35 ; 1604.64 ; 46.38 ; 85.31
652 ; 10 ; 747.28 ; 65.78 ; 96.17
299 ; 48 ; 456.00 ; 74.49 ; 98.83
495 ; 67 ; 1683.51 ; 55.64 ; 87.99
651 ; 40 ; 974.33 ; 59.37 ; 94.65
418 ; 117 ; 2092.32 ; 48.45 ; 82.21
301 ; 93 ; 1003.44 ; 61.57 ; 95.69
410 ; 36 ; 731.86 ; 71.00 ; 97.25
601 ; 30 ; 620.73 ; 65.05 ; 97.09
591 ; 52 ; 248.14 ; 62.58 ; 98.39
1232 ; 55 ; 951.83 ; 42.75 ; 90.55
846 ; 26 ; 693.48 ; 57.74 ; 95.34
387 ; 43 ; 324.46 ; 72.68 ; 99.00
570 ; 75 ; 4253.28 ; 45.98 ; 28.24
363 ; 64 ; 1912.79 ; 61.10 ; 85.22
1147 ; 18 ; 453.38 ; 54.37 ; 94.07
1076 ; 150 ; 1710.91 ; 26.22 ; 84.00
897 ; 147 ; 1140.70 ; 32.69 ; 91.71
577 ; 52 ; 576.60 ; 61.41 ; 97.40
623 ; 111 ; 2152.76 ; 40.94 ; 80.39
182 ; 8 ; 1213.74 ; 82.05 ; 94.13
692 ; 59 ; 3080.11 ; 46.72 ; 61.17
590 ; 70 ; 1495.23 ; 51.96 ; 89.92
425 ; 53 ; 2592.02 ; 59.28 ; 73.11
322 ; 81 ; 838.92 ; 63.91 ; 96.83
278 ; 6 ; 38.48 ; 85.04 ; 99.69
579 ; 62 ; 3144.47 ; 49.88 ; 60.16
151 ; 19 ; 419.03 ; 85.72 ; 99.23
183 ; 26 ; 1905.01 ; 76.41 ; 85.73
152 ; 5 ; 51.13 ; 89.54 ; 99.90
377 ; 87 ; 1708.71 ; 56.29 ; 88.04
880 ; 206 ; 1847.38 ; 26.71 ; 83.52
248 ; 24 ; 298.47 ; 82.19 ; 99.41
225 ; 60 ; 1990.77 ; 67.29 ; 84.35
787 ; 55 ; 324.92 ; 55.10 ; 97.16
553 ; 39 ; 186.15 ; 67.32 ; 98.67
468 ; 99 ; 1209.44 ; 52.45 ; 93.41
82 ; 13 ; 85.53 ; 90.40 ; 99.94
500 ; 5 ; 232.88 ; 74.88 ; 98.81
577 ; 34 ; 1282.08 ; 61.74 ; 92.30
173 ; 9 ; 428.35 ; 86.40 ; 99.17
408 ; 100 ; 732.67 ; 57.33 ; 97.22
393 ; 78 ; 555.57 ; 63.10 ; 98.17
201 ; 17 ; 1872.55 ; 77.43 ; 86.18
1035 ; 170 ; 3661.25 ; 21.35 ; 43.50
1024 ; 63 ; 390.38 ; 47.32 ; 95.31
542 ; 169 ; 1559.50 ; 40.26 ; 89.27
479 ; 12 ; 1284.05 ; 69.34 ; 92.68
1057 ; 24 ; 1413.70 ; 49.87 ; 87.86
721 ; 171 ; 2930.14 ; 30.03 ; 64.42
777 ; 12 ; 1240.08 ; 59.01 ; 91.66
318 ; 43 ; 1816.24 ; 68.32 ; 86.75
400 ; 37 ; 65.63 ; 74.73 ; 99.35
1130 ; 115 ; 4645.21 ; 24.11 ; 10.92
1016 ; 157 ; 1717.79 ; 26.87 ; 84.39
501 ; 146 ; 1084.88 ; 45.82 ; 94.35
761 ; 35 ; 602.55 ; 58.90 ; 96.33
809 ; 41 ; 593.92 ; 56.37 ; 96.07
457 ; 69 ; 2549.20 ; 54.20 ; 73.85
604 ; 158 ; 2080.98 ; 36.86 ; 81.61
906 ; 143 ; 1533.44 ; 31.05 ; 87.56
461 ; 6 ; 321.19 ; 75.95 ; 98.77
378 ; 45 ; 662.66 ; 70.77 ; 97.73
487 ; 114 ; 1169.86 ; 49.61 ; 93.69
465 ; 87 ; 3777.40 ; 48.20 ; 43.55
472 ; 87 ; 3777.41 ; 47.90 ; 43.52
448 ; 79 ; 2724.12 ; 52.11 ; 70.29
487 ; 41 ; 1037.33 ; 65.08 ; 94.88
465 ; 87 ; 3777.41 ; 48.20 ; 43.55
467 ; 21 ; 499.85 ; 72.61 ; 98.18
234 ; 35 ; 581.45 ; 79.20 ; 98.46
702 ; 38 ; 1430.83 ; 55.86 ; 90.10
267 ; 21 ; 830.58 ; 79.11 ; 97.03
1069 ; 45 ; 673.67 ; 49.20 ; 93.77
541 ; 47 ; 1508.73 ; 59.24 ; 89.98
582 ; 10 ; 285.76 ; 70.77 ; 98.36
1205 ; 36 ; 1564.81 ; 44.60 ; 84.80
1363 ; 72 ; 2181.41 ; 32.23 ; 74.21
855 ; 90 ; 3880.37 ; 34.28 ; 38.47
756 ; 25 ; 507.54 ; 61.43 ; 96.77
1002 ; 71 ; 1192.11 ; 41.62 ; 90.53
408 ; 110 ; 1292.21 ; 52.90 ; 92.80
1093 ; 137 ; 4080.66 ; 22.47 ; 30.41
459 ; 101 ; 469.96 ; 56.44 ; 98.28
557 ; 189 ; 1724.81 ; 38.06 ; 87.06
797 ; 148 ; 534.61 ; 38.41 ; 96.33
474 ; 87 ; 3257.50 ; 48.46 ; 57.76
756 ; 171 ; 1343.84 ; 33.68 ; 90.63
538 ; 63 ; 1960.36 ; 53.87 ; 83.89
719 ; 177 ; 3200.19 ; 29.39 ; 57.97
663 ; 72 ; 1976.31 ; 47.16 ; 83.05
1189 ; 76 ; 1555.77 ; 35.72 ; 85.04
