dom ; request ; size ; historical ; distance
787 ; 131 ; 2181.12 ; 33.02 ; 78.99
96 ; 13 ; 56.22 ; 90.15 ; 99.95
664 ; 32 ; 122.86 ; 65.02 ; 98.22
321 ; 11 ; 817.30 ; 78.54 ; 97.00
526 ; 39 ; 1073.28 ; 63.71 ; 94.43
890 ; 173 ; 1748.39 ; 28.38 ; 84.89
540 ; 103 ; 1493.10 ; 47.53 ; 90.14
203 ; 48 ; 701.95 ; 76.71 ; 97.91
96 ; 13 ; 56.23 ; 90.15 ; 99.95
582 ; 41 ; 1052.88 ; 61.25 ; 94.36
339 ; 15 ; 141.89 ; 80.81 ; 99.47
102 ; 4 ; 273.68 ; 90.00 ; 99.67
96 ; 13 ; 56.18 ; 90.15 ; 99.95
496 ; 102 ; 3202.34 ; 44.99 ; 59.05
445 ; 43 ; 1060.87 ; 66.28 ; 94.84
1208 ; 97 ; 2415.66 ; 28.58 ; 71.55
753 ; 13 ; 296.03 ; 64.54 ; 97.45
1018 ; 112 ; 958.04 ; 35.07 ; 92.34
1038 ; 67 ; 2060.94 ; 38.39 ; 79.24
907 ; 131 ; 2128.12 ; 30.10 ; 79.09
1530 ; 150 ; 1784.28 ; 20.43 ; 78.39
96 ; 13 ; 56.22 ; 90.15 ; 99.95
435 ; 80 ; 654.08 ; 60.37 ; 97.57
343 ; 15 ; 266.05 ; 80.05 ; 99.27
1005 ; 21 ; 570.10 ; 55.74 ; 94.80
786 ; 43 ; 1724.87 ; 51.07 ; 86.00
943 ; 18 ; 563.94 ; 57.52 ; 95.30
981 ; 19 ; 569.00 ; 56.55 ; 94.99
801 ; 26 ; 434.01 ; 60.39 ; 96.76
387 ; 47 ; 45.69 ; 73.16 ; 99.40
659 ; 112 ; 1040.11 ; 44.03 ; 94.05
116 ; 13 ; 478.31 ; 87.38 ; 99.06
96 ; 13 ; 56.17 ; 90.15 ; 99.95
889 ; 217 ; 2276.50 ; 24.97 ; 76.55
1140 ; 56 ; 2160.71 ; 38.96 ; 76.74
770 ; 148 ; 1052.36 ; 36.36 ; 93.29
365 ; 70 ; 1089.81 ; 63.09 ; 94.84
958 ; 17 ; 550.02 ; 57.44 ; 95.25
967 ; 131 ; 900.40 ; 33.92 ; 93.13
96 ; 13 ; 56.24 ; 90.15 ; 99.95
642 ; 55 ; 2685.56 ; 50.08 ; 70.29
208 ; 45 ; 1684.60 ; 72.50 ; 88.77
455 ; 47 ; 2778.99 ; 59.05 ; 69.10
426 ; 28 ; 230.44 ; 74.49 ; 99.08
306 ; 40 ; 206.48 ; 77.29 ; 99.46
203 ; 49 ; 766.59 ; 76.11 ; 97.54
96 ; 13 ; 56.27 ; 90.15 ; 99.95
270 ; 9 ; 38.67 ; 84.97 ; 99.71
428 ; 55 ; 2195.87 ; 59.64 ; 80.49
96 ; 13 ; 56.21 ; 90.15 ; 99.95
