operateur;latitude;longitude;CP;ville;url;dom;req;size;EcoIndex;GreenHouseGaz;water;PageChargeeMoins5s;temps_en_secondes;Conso_totale_(MWh);Conso_moyenne_(MWh);Photovoltaique
ORANGE;44.5561;4.72509;26198;NYONS;https://www.spotify.com/fr/;82;37;7946761;71.75;1.56;2.3;1.0;2.68;104246.37403330146;4.701924768089011;6532.6725
FREE;50.68844;2.88642;59017;LILLE;https://www.jeuxvideo.com/;3013;10;991093;43.82;2.12;3.1;1.0;5.11;46217.44448814952;3.6340182802444976;86.6189642185284
FREE;45.91717;2.48702;23131;AUBUSSON;https://signup.live.com/?lic=1;518;14;654805;70.87;1.58;2.3;1.0;3.1;2095.0280873466245;4.457506568822605;62.90019287426977
BOUYGUES TELECOM;49.49279;0.12109;76351;LE HAVRE;https://login.yahoo.com/;346;16;870058;76.65;1.47;2.2;1.0;2.49;274980.77304996806;3.0244588375363577;423.151595175612
BOUYGUES TELECOM;43.37028;5.63503;13007;MARSEILLE;https://www.instagram.com/accounts/login/;173;94;40979494;56.26;1.87;2.8;1.0;3.49;44314.85276600056;7.817049350150037;370.5642061617099
ORANGE;45.61512;6.76912;73285;ALBERTVILLE;https://www.allocine.fr/;1597;30;2014490;40.28;2.19;3.2;1.0;2.54;8565.59436193384;6.162298102110676;60.23479729175216
FREE;45.80361;3.14644;63113;CLERMONT-FERRAND;https://clients.cdiscount.com/frequentlyaskedquestions.html;32;2;7342;95.77;1.08;1.6;1.0;3.64;218978.0135771106;2.433819185501324;3120.454166666667
SFR;45.13393;2.22624;15153;MAURIAC;https://www.whatsapp.com/?l=fr;1411;216;21568075;11.92;2.76;4.1;1.0;10;5532.154772506777;4.415127511976678;1156.678558073165
SFR;44.89574;2.51923;15266;AURILLAC;https://www.impots.gouv.fr/accueil;866;41;155985;57.13;1.86;2.7;1.0;2.84;1720.956459892354;5.605721367727537;26.0270644504251
BOUYGUES TELECOM;47.29281;1.77004;41194;ROMORANTIN-LANTHENAY;https://clients.cdiscount.com/frequentlyaskedquestions.html;32;2;7342;95.77;1.08;1.6;1.0;3.64;49038.58706226578;4.934948884197019;174.251923894131
SFR;43.62985;5.15548;13069;AIX-EN-PROVENCE;https://www.service-public.fr/;529;127;1123411;46.55;2.07;3.1;0.0;10.01;37056.91003923252;7.31482630067756;615.9083093671438
ORANGE;43.61775;5.14111;13069;AIX-EN-PROVENCE;https://www.spotify.com/fr/;82;37;8013023;71.73;1.57;2.3;1.0;2.23;37056.91003923252;7.31482630067756;615.9083093671438
ORANGE;47.51872;-1.30044;44207;CHÂTEAUBRIANT-ANCENIS;https://signup.live.com/?lic=1;518;14;654806;70.87;1.58;2.3;1.0;2.37;3238.356327663122;7.359900744688914;255.43681566138596
