dom ; request ; size ; historical ; random_projection ;
1166.0 ; 277.0 ; 11956.228515625 ; 13.68 ; 6.58
1801.0 ; 46.0 ; 2655.8369140625 ; 33.65 ; 9.20
1147.0 ; 293.0 ; 577.3984375 ; 25.86 ; 27.04
957.0 ; 115.0 ; 3169.140625 ; 28.82 ; 27.71
1101.0 ; 129.0 ; 4794.3974609375 ; 22.65 ; 24.41
153.0 ; 64.0 ; 19453.5546875 ; 63.23 ; 41.18
1023.0 ; 131.0 ; 394.2568359375 ; 35.56 ; 84.41
726.0 ; 14.0 ; 321.619140625 ; 65.14 ; 60.42
1673.0 ; 92.0 ; 2107.0244140625 ; 25.77 ; 33.85
508.0 ; 50.0 ; 808.4658203125 ; 63.32 ; 79.37
1988.0 ; 177.0 ; 3010.29296875 ; 12.92 ; 97.73
2264.0 ; 40.0 ; 354.36328125 ; 42.70 ; 65.94
1646.0 ; 420.0 ; 11944.8466796875 ; 8.55 ; 51.51
1512.0 ; 44.0 ; 2718.6806640625 ; 36.11 ; 18.69
228.0 ; 14.0 ; 657.5400390625 ; 82.66 ; 93.14
240.0 ; 1.0 ; 100.33984375 ; 87.49 ; 78.49
2193.0 ; 373.0 ; 1975.818359375 ; 11.54 ; 91.80
465.0 ; 70.0 ; 69411.7685546875 ; 49.40 ; 42.82
835.0 ; 180.0 ; 752.494140625 ; 34.09 ; 85.33
2329.0 ; 330.0 ; 5989.7490234375 ; 6.18 ; 74.87
933.0 ; 96.0 ; 3684.3134765625 ; 31.57 ; 94.54
2433.0 ; 449.0 ; 1307.70703125 ; 13.24 ; 30.49
1895.0 ; 364.0 ; 6005.669921875 ; 7.76 ; 0.09
480.0 ; 22.0 ; 2808.734375 ; 62.96 ; 98.50
780.0 ; 14.0 ; 7124.8544921875 ; 50.50 ; 67.80
509.0 ; 38.0 ; 2071.380859375 ; 60.54 ; 11.05
4448.0 ; 565.0 ; 54837.1796875 ; 4.68 ; 19.95
636.0 ; 114.0 ; 618.16015625 ; 46.83 ; 72.95
3007.0 ; 182.0 ; 1689.0703125 ; 14.28 ; 92.58
3771.0 ; 144.0 ; 4519.2978515625 ; 11.71 ; 87.04
1986.0 ; 389.0 ; 4342.791015625 ; 8.31 ; 72.74
2164.0 ; 228.0 ; 1487.4443359375 ; 14.66 ; 67.65
1367.0 ; 82.0 ; 2513.8857421875 ; 29.27 ; 60.83
1124.0 ; 18.0 ; 2824.1279296875 ; 45.51 ; 22.59
714.0 ; 195.0 ; 2531.8818359375 ; 29.91 ; 91.62
152.0 ; 37.0 ; 721.505859375 ; 80.76 ; 35.40
1658.0 ; 312.0 ; 6404.4208984375 ; 9.05 ; 61.22
2677.0 ; 18.0 ; 307.48046875 ; 46.23 ; 75.67
3657.0 ; 187.0 ; 14935.7548828125 ; 7.49 ; 51.16
4012.0 ; 1052.0 ; 7209.06640625 ; 4.90 ; 29.84
1047.0 ; 56.0 ; 1471.09375 ; 42.98 ; 52.73
2139.0 ; 465.0 ; 2938.6630859375 ; 9.39 ; 25.09
1319.0 ; 126.0 ; 2727.330078125 ; 22.38 ; 73.61
3139.0 ; 72.0 ; 8063.5 ; 21.25 ; 14.31
1870.0 ; 643.0 ; 4322.52734375 ; 8.64 ; 21.10
428.0 ; 36.0 ; 7319.66796875 ; 59.34 ; 56.83
58.0 ; 12.0 ; 122.63671875 ; 92.03 ; 14.53
3380.0 ; 401.0 ; 4335.6982421875 ; 6.49 ; 35.85
1604.0 ; 58.0 ; 11715.6572265625 ; 28.45 ; 94.89
71.0 ; 27.0 ; 4689.197265625 ; 75.46 ; 61.18
1472.0 ; 55.0 ; 983.5625 ; 39.91 ; 88.60
3919.0 ; 240.0 ; 4946.5185546875 ; 7.03 ; 20.66
34.0 ; 2.0 ; 13.025390625 ; 95.62 ; 39.47
96.0 ; 13.0 ; 56.1708984375 ; 90.15 ; 4.47
339.0 ; 64.0 ; 3706.8505859375 ; 58.55 ; 7.99
466.0 ; 82.0 ; 1278.505859375 ; 55.37 ; 41.71
1374.0 ; 355.0 ; 333.259765625 ; 24.19 ; 17.50
87.0 ; 28.0 ; 190.6474609375 ; 87.20 ; 43.51
1786.0 ; 510.0 ; 37086.7626953125 ; 7.39 ; 50.94
871.0 ; 51.0 ; 2083.0986328125 ; 45.72 ; 70.30
71.0 ; 27.0 ; 4686.697265625 ; 75.46 ; 85.20
4132.0 ; 668.0 ; 2995.9765625 ; 7.95 ; 6.45
2005.0 ; 485.0 ; 9808.3564453125 ; 6.65 ; 95.22
167.0 ; 47.0 ; 67.0791015625 ; 81.49 ; 76.93
682.0 ; 133.0 ; 1975.544921875 ; 36.64 ; 70.76
434.0 ; 28.0 ; 581.1142578125 ; 72.34 ; 36.55
362.0 ; 20.0 ; 87.40234375 ; 79.33 ; 41.91
1066.0 ; 12.0 ; 204.0458984375 ; 57.80 ; 32.72
1407.0 ; 440.0 ; 7485.44921875 ; 10.69 ; 31.41
425.0 ; 109.0 ; 2398.86328125 ; 48.45 ; 93.24
2057.0 ; 337.0 ; 1614.322265625 ; 13.34 ; 79.93
446.0 ; 47.0 ; 756.9619140625 ; 66.90 ; 98.40
2204.0 ; 65.0 ; 7576.3740234375 ; 24.02 ; 5.87
45.0 ; 11.0 ; 17.6484375 ; 93.86 ; 93.43
1160.0 ; 193.0 ; 20912.9365234375 ; 15.88 ; 9.21
96.0 ; 13.0 ; 56.1611328125 ; 90.15 ; 24.39
1324.0 ; 520.0 ; 8258.7734375 ; 11.41 ; 0.91
5129.0 ; 288.0 ; 2816.3037109375 ; 8.42 ; 22.29
96.0 ; 13.0 ; 56.2109375 ; 90.15 ; 17.18
