dom ; request ; size ; historical ; lsh_knn
240.0 ; 1.0 ; 100.33984 ; 87.49 ; 62.06
2193.0 ; 373.0 ; 1975.8184 ; 11.54 ; 48.01
465.0 ; 70.0 ; 69411.766 ; 49.40 ; 72.15
835.0 ; 180.0 ; 752.49414 ; 34.09 ; 45.88
2329.0 ; 330.0 ; 5989.749 ; 6.18 ; 63.62
933.0 ; 96.0 ; 3684.3135 ; 31.57 ; 67.59
2433.0 ; 449.0 ; 1307.707 ; 13.24 ; 56.36
1895.0 ; 364.0 ; 6005.67 ; 7.76 ; 65.30
480.0 ; 22.0 ; 2808.7344 ; 62.96 ; 68.58
780.0 ; 14.0 ; 7124.8545 ; 50.50 ; 69.97
509.0 ; 38.0 ; 2071.3809 ; 60.54 ; 68.05
4448.0 ; 565.0 ; 54837.18 ; 4.68 ; 71.08
636.0 ; 114.0 ; 618.16016 ; 46.83 ; 45.74
3007.0 ; 182.0 ; 1689.0703 ; 14.28 ; 58.90
3771.0 ; 144.0 ; 4519.298 ; 11.71 ; 52.99
1986.0 ; 389.0 ; 4342.791 ; 8.31 ; 61.28
2164.0 ; 228.0 ; 1487.4443 ; 14.66 ; 55.12
1367.0 ; 82.0 ; 2513.8857 ; 29.27 ; 59.99
1124.0 ; 18.0 ; 2824.128 ; 45.51 ; 62.41
714.0 ; 195.0 ; 2531.8818 ; 29.91 ; 66.03
152.0 ; 37.0 ; 721.50586 ; 80.76 ; 68.59
1658.0 ; 312.0 ; 6404.421 ; 9.05 ; 67.66
2677.0 ; 18.0 ; 307.48047 ; 46.23 ; 69.87
3657.0 ; 187.0 ; 14935.755 ; 7.49 ; 67.48
4012.0 ; 1052.0 ; 7209.0664 ; 4.90 ; 57.38
1047.0 ; 56.0 ; 1471.0938 ; 42.98 ; 55.76
2139.0 ; 465.0 ; 2938.663 ; 9.39 ; 52.56
1319.0 ; 126.0 ; 2727.33 ; 22.38 ; 61.84
3139.0 ; 72.0 ; 8063.5 ; 21.25 ; 62.79
1870.0 ; 643.0 ; 4322.5273 ; 8.64 ; 59.89
428.0 ; 36.0 ; 7319.668 ; 59.34 ; 71.63
58.0 ; 12.0 ; 122.63672 ; 92.03 ; 60.82
3380.0 ; 401.0 ; 4335.698 ; 6.49 ; 54.03
1604.0 ; 58.0 ; 11715.657 ; 28.45 ; 69.37
71.0 ; 27.0 ; 4689.1973 ; 75.46 ; 72.84
1472.0 ; 55.0 ; 983.5625 ; 39.91 ; 57.33
3919.0 ; 240.0 ; 4946.5186 ; 7.03 ; 54.15
34.0 ; 2.0 ; 13.025391 ; 95.62 ; 63.23
96.0 ; 13.0 ; 56.1709 ; 90.15 ; 56.68
339.0 ; 64.0 ; 3706.8506 ; 58.55 ; 72.45
466.0 ; 82.0 ; 1278.5059 ; 55.37 ; 64.09
1374.0 ; 355.0 ; 333.25977 ; 24.19 ; 62.45
87.0 ; 28.0 ; 190.64746 ; 87.20 ; 60.39
1786.0 ; 510.0 ; 37086.76 ; 7.39 ; 73.49
871.0 ; 51.0 ; 2083.0986 ; 45.72 ; 63.39
71.0 ; 27.0 ; 4686.6973 ; 75.46 ; 72.85
4132.0 ; 668.0 ; 2995.9766 ; 7.95 ; 53.02
2005.0 ; 485.0 ; 9808.356 ; 6.65 ; 68.74
167.0 ; 47.0 ; 67.0791 ; 81.49 ; 57.46
682.0 ; 133.0 ; 1975.5449 ; 36.64 ; 64.20
434.0 ; 28.0 ; 581.11426 ; 72.34 ; 54.89
362.0 ; 20.0 ; 87.40234 ; 79.33 ; 67.37
1066.0 ; 12.0 ; 204.0459 ; 57.80 ; 68.53
1407.0 ; 440.0 ; 7485.449 ; 10.69 ; 68.82
425.0 ; 109.0 ; 2398.8633 ; 48.45 ; 69.32
2057.0 ; 337.0 ; 1614.3223 ; 13.34 ; 50.28
446.0 ; 47.0 ; 756.9619 ; 66.90 ; 58.56
2204.0 ; 65.0 ; 7576.374 ; 24.02 ; 65.45
45.0 ; 11.0 ; 17.648438 ; 93.86 ; 58.61
1160.0 ; 193.0 ; 20912.938 ; 15.88 ; 71.62
96.0 ; 13.0 ; 56.161133 ; 90.15 ; 56.78
1324.0 ; 520.0 ; 8258.773 ; 11.41 ; 69.23
5129.0 ; 288.0 ; 2816.3037 ; 8.42 ; 60.02
96.0 ; 13.0 ; 56.210938 ; 90.15 ; 56.52
254.0 ; 54.0 ; 5366.5254 ; 63.02 ; 71.91
3605.0 ; 193.0 ; 8175.5664 ; 7.23 ; 63.70
75.0 ; 1.0 ; 24.11621 ; 93.20 ; 66.73
1148.0 ; 437.0 ; 3610.2334 ; 16.08 ; 63.61
3079.0 ; 80.0 ; 2201.3809 ; 24.43 ; 55.74
349.0 ; 108.0 ; 2760.2354 ; 51.01 ; 70.74
1405.0 ; 234.0 ; 3724.374 ; 13.78 ; 64.29
92.0 ; 12.0 ; 55.62207 ; 90.40 ; 56.71
710.0 ; 48.0 ; 1040.9629 ; 55.24 ; 56.01
2073.0 ; 125.0 ; 1397.8818 ; 21.54 ; 55.97
2524.0 ; 148.0 ; 5794.8613 ; 10.64 ; 63.10
96.0 ; 13.0 ; 56.21582 ; 90.15 ; 56.68
3212.0 ; 44.0 ; 479.58398 ; 40.36 ; 70.97
7576.0 ; 801.0 ; 13001.918 ; 4.72 ; 59.24
315.0 ; 6.0 ; 43.73047 ; 83.54 ; 70.70
38.0 ; 2.0 ; 25.007812 ; 95.34 ; 56.43
3139.0 ; 73.0 ; 3331.7744 ; 23.65 ; 50.61
2193.0 ; 361.0 ; 8037.449 ; 6.02 ; 67.01
1781.0 ; 451.0 ; 4474.573 ; 9.02 ; 62.39
96.0 ; 13.0 ; 56.177734 ; 90.15 ; 56.68
1406.0 ; 131.0 ; 1419.6973 ; 24.80 ; 45.00
5645.0 ; 527.0 ; 17166.293 ; 4.84 ; 66.71
1853.0 ; 318.0 ; 5326.5312 ; 8.17 ; 65.19
62.0 ; 6.0 ; 60.76758 ; 92.81 ; 47.60
115.0 ; 30.0 ; 552.20703 ; 84.15 ; 68.26
96.0 ; 13.0 ; 56.2041 ; 90.15 ; 56.68
2214.0 ; 121.0 ; 4736.453 ; 15.08 ; 62.56
418.0 ; 114.0 ; 1044.7305 ; 53.16 ; 62.07
344.0 ; 65.0 ; 8569.687 ; 55.94 ; 71.94
5638.0 ; 527.0 ; 17286.152 ; 4.84 ; 65.72
79.0 ; 8.0 ; 30.054688 ; 91.45 ; 62.65
1724.0 ; 247.0 ; 13161.313 ; 8.79 ; 70.68
1247.0 ; 193.0 ; 11580.083 ; 14.61 ; 72.03
1969.0 ; 115.0 ; 5246.876 ; 16.43 ; 65.23
96.0 ; 13.0 ; 56.183594 ; 90.15 ; 56.52
2511.0 ; 736.0 ; 3635.8408 ; 7.03 ; 52.22
1515.0 ; 324.0 ; 4366.999 ; 11.10 ; 64.16
3262.0 ; 107.0 ; 1642.6543 ; 21.41 ; 61.67
2721.0 ; 510.0 ; 4482.6797 ; 6.34 ; 56.76
50.0 ; 14.0 ; 10475.794 ; 78.18 ; 72.15
3055.0 ; 66.0 ; 3227.831 ; 25.39 ; 51.60
3154.0 ; 73.0 ; 3347.624 ; 23.62 ; 50.68
2889.0 ; 63.0 ; 3091.4414 ; 26.32 ; 51.40
1925.0 ; 41.0 ; 1024.6543 ; 40.14 ; 61.04
1527.0 ; 323.0 ; 4203.092 ; 11.12 ; 63.76
46.0 ; 2.0 ; 148.08789 ; 94.20 ; 66.71
687.0 ; 134.0 ; 1962.5508 ; 36.43 ; 64.44
47.0 ; 18.0 ; 59.33496 ; 92.50 ; 46.73
2883.0 ; 63.0 ; 3141.7266 ; 26.24 ; 50.94
2918.0 ; 10.0 ; 448.42773 ; 46.64 ; 68.95
122.0 ; 21.0 ; 2289.6523 ; 78.06 ; 71.45
993.0 ; 113.0 ; 573.9824 ; 37.51 ; 57.40
47.0 ; 18.0 ; 59.33496 ; 92.50 ; 46.73
