operateur,latitude,longitude,CP,ville,url,dom,size,requests,eco_index,GreenHouseGaz,water,PageChargeeMoins10s,temps_en_secondes,Conso totale (MWh),Conso moyenne (MWh),Photovoltaique,Eolien,Hydraulique,Bio energy,Cogeneration,Autres
SFR , 50.01844 , 2.38443 ,80798, AMIENS , https://signup.live.com/?lic=1 ,518,13,641927, 71.07 , 1.58 , 2.37 , 1.0 , 2.65 , 3964.460087575142 , 5.762296638917357 , 33.02440018613224 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
SFR , 47.99608 , -4.06341 ,29051, QUIMPER , https://www.leroymerlin.fr/ ,939,22,377963, 57.98 , 1.84 , 2.76 , 1.0 , 2.39 , 21591.39773123794 , 5.467560833435791 , 0.0, 0.0, 0.0 , 0.0 , 0.0 , 0.0
BOUYGUES TELECOM , 50.49315 , 2.95761 ,62215, LENS , https://www.lequipe.fr/ ,1893,305,2270809, 11.96 , 2.76 , 4.14 , 1.0 , 1.88 , 32467.15367823523 , 4.184450789822816 , 0.0, 0.0 , 0.0 , 0.0 , 0.0 , 0.0
ORANGE , 43.18299 , 2.49034 ,11043, CARCASSONNE , https://www.blogger.com/about/?bpli=1 ,290,43,7278412, 63.70 , 1.73 , 2.59 , 0.0 , 10.01 , 859.4762519024316 , 7.473706538282014 , 0.0, 0.0 , 0.0 , 0.0 , 0.0 , 0.0
SFR , 43.01576 , 3.04925 ,11266, NARBONNE , https://clients.cdiscount.com/frequentlyaskedquestions.html ,32,2,7068, 95.77 , 1.08 , 1.63 , 1.0 , 3.79 , 19797.88180310995 , 2.7061074088449906 , 308.1979953018676 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
FREE , 43.47436 , -1.55055 ,64038, BAYONNE , https://m.facebook.com/ ,247,54,4005290, 64.37 , 1.71 , 2.57 , 0.0 , 10.01 , 13666.821517671451 , 7.273454772576612 , 291.7032976204073 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
BOUYGUES TELECOM , 43.52724 , 4.14061 ,30133, NÎMES , https://www.impots.gouv.fr/accueil ,787,39,134902, 59.76 , 1.80 , 2.71 , 1.0 , 2.74 , 40447.5214808182 , 1.8186835198209623 , 273.19865300637133 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
SFR , 44.02973 , -0.91902 ,40197, MONT-DE-MARSAN , https://login.yahoo.com/ ,346,16,860326, 76.69 , 1.47 , 2.20 , 1.0 , 2.56 , 15892.908999802044 , 5.921352086364397 , 421.3487896383329 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
ORANGE , 48.62001 , -1.99367 ,35288, SAINT-MALO , https://www.bing.com/ ,240,2,109349, 86.62 , 1.27 , 1.90 , 1.0 , 1.96 , 126716.3007248816 , 3.493887193252498 , 290.9507929957193 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
BOUYGUES TELECOM , 49.67429 , 1.28603 ,76200, DIEPPE , https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Accueil_principal ,1679,364,355650, 21.54 , 2.57 , 3.85 , 1.0 , 2.08 , 1634.3640474390031 , 7.601693243902341 , 0.0, 0.0 , 0.0 , 0.0 , 0.0 , 0.0
FREE , 50.40052 , 2.83152 ,62065, LENS , https://login.yahoo.com/ ,346,16,860326, 76.69 , 1.47 , 2.20 , 1.0 , 2.43 , 29228.80651649219 , 3.872390900436167 , 0.0 , 0.0 , 0.0 , 0.0 , 54945.01950000001 , 0.0
FREE , 50.14355 , 1.97326 ,80548, ABBEVILLE , https://www.whatsapp.com/?l=fr ,1335,146,2995513, 19.74 , 2.61 , 3.91 , 1.0 , 3.81 , 1079.8074612532168 , 6.966499750020754 , 1331.3416666666667 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
FREE , 48.65463 , 6.18557 ,54547, NANCY , https://www.ubereats.com/fr ,628,127,9399728, 33.67 , 2.33 , 3.49 , 1.0 , 3.21 , 40714.60283102044 , 2.5315303631797823 , 0.0 , 0.0 , 0.0 , 0.0 , 28899.291166666662 , 0.0
ORANGE , 49.12146 , 6.64019 ,57413, FORBACH-BOULAY-MOSELLE , https://www.bing.com/ ,240,2,109071, 86.62 , 1.27 , 1.90 , 1.0 , 2.48 , 9452.834365804329 , 5.242836586691252 , 98.2149674873444 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
ORANGE , 43.49445 , 1.31056 ,31395, MURET , https://www.leroymerlin.fr/ ,939,22,377885, 57.98 , 1.84 , 2.76 , 1.0 , 2.22 , 61537.27448525436 , 4.961883122500755 , 655.2996959871195 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
FREE , 43.14598 , 5.90187 ,83103, TOULON , https://clients.cdiscount.com/frequentlyaskedquestions.html ,32,2,7068, 95.7 , 1.08 , 1.63 , 1.0 , 4.64 , 13659.160376298309 , 7.492682598079159 , 215.71644178973804 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
FREE , 43.14598 , 5.90187 ,83103, TOULON , https://www.google.com/ ,370,22,199167, 78.09 , 1.44 , 2.16 , 1.0 , 2.85 , 13659.160376298309 , 7.492682598079159 , 215.71644178973804 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
ORANGE , 47.30178 , -2.20992 ,44210, SAINT-NAZAIRE , https://m.facebook.com/ ,247,54,4009845, 64.37 , 1.71 , 2.57 , 1.0 , 2.55 , 17819.556368537567 , 4.5284768407973495 , 207.68108738368568 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
FREE , 46.68194 , -1.04779 ,85145, LA ROCHE-SUR-YON , https://www.allocine.fr/ ,1593,29,1921286, 40.78 , 2.18 , 3.28 , 1.0 , 3.07 , 3049.9677768536567 , 6.900379585641757 , 309.944 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
ORANGE , 42.61712 , 2.42322 ,66149, PRADES , https://www.blogger.com/about/?bpli=1 ,290,43,7278412, 63.70 , 1.73 , 2.59 , 1.0 , 3.48 , 19070.93359728052 , 4.968976966461833 , 0.0, 0.0 , 0.0 , 0.0 , 0.0 , 0.0
SFR , 49.16644 , 5.36056 ,55505, VERDUN , https://www.ubereats.com/fr ,628,127,9398933, 33.67 , 2.33 , 3.49 , 1.0 , 6.93 , 6500.925641574682 , 5.234239647000549 , 53.343 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
SFR , 50.40553 , 2.87621 ,62570, LENS , https://www.spotify.com/fr/ ,72,27,9696262, 74.06 , 1.52 , 2.28 , 1.0 , 1.96 , 18566.75520536043 , 3.6606378559464567 , 72.81755008461045 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
FREE , 43.58615 , 0.09064 ,32330, MIRANDE , https://m.facebook.com/ ,247,54,4005316, 64.37 , 1.71 , 2.57 , 1.0 , 3.65 , 770.2567352630537 , 6.816431285513749 , 0.0, 0.0 , 0.0 , 0.0 , 0.0 , 0.0
ORANGE , 43.84486 , 5.0879 ,84131, APT , https://www.impots.gouv.fr/accueil ,787,39,134902, 59.76 , 1.80 , 2.71 , 0.0 , 10.01 , 8231.644684222123 , 8.348524020509252 , 928.085148635968 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
ORANGE , 43.74161 , 4.79101 ,13068, ARLES , https://clients.cdiscount.com/frequentlyaskedquestions.html ,32,2,7068, 95.77 , 1.08 , 1.63 , 1.0 , 6.61 , 10690.75481118299 , 8.976284476224173 , 66.17284614247876 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
SFR , 48.77404 , 5.16174 ,55029, BAR-LE-DUC , https://www.messervices.etudiant.gouv.fr/envole/ ,698,74,940904, 50.18 , 2.00 , 2.99 , 1.0 , 2.41 , 29678.91129247234 , 3.440235457571849 , 90.38625038248932 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
ORANGE , 48.23748 , 7.53816 ,67196, SÉLESTAT-ERSTEIN , https://clients.cdiscount.com/frequentlyaskedquestions.html ,32,2,7068, 95.77 , 1.08 , 1.63 , 0.0 , 10.01 , 5989.046625659836 , 5.479457114052915 , 1960.2433468232896 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
ORANGE , 47.95783 , -2.43879 ,56165, PONTIVY , https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Accueil_principal ,1680,364,355808, 21.54 , 2.57 , 3.85 , 1.0 , 2.14 , 27324.385544491484 , 5.213582435506866 , 480.0965 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
BOUYGUES TELECOM , 48.73129 , 2.16384 ,91471, PALAISEAU , https://www.adobe.com/fr/ ,725,238,16664076, 24.30 , 2.51 , 3.77 , 1.0 , 3.42 , 39423.27197056582 , 4.966398585357246 , 125.9818536260629 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
FREE , 42.70702 , 2.90609 ,66136, PERPIGNAN , https://www.ubereats.com/fr ,628,127,9398941, 33.67 , 2.33 , 3.49 , 1.0 , 4.03 , 249164.689899692 , 3.4576912601780707 , 2704.200723216868 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
ORANGE , 43.56679 , 2.95954 ,34273, BÉZIERS , https://www.ubereats.com/fr ,628,127,9398959, 33.67 , 2.33 , 3.49 , 1.0 , 7.14 , 522.0927628284443 , 3.5516514478125463 , 0.0, 0.0 , 0.0 , 0.0 , 0.0 , 0.0
BOUYGUES TELECOM , 44.0992 , 4.62936 ,30302, NÎMES , https://www.expedia.fr/ ,1170,340,60787157, 13.31 , 2.73 , 4.10 , 1.0 , 6.54 , 8370.661354593385 , 8.071997448981085 , 80.47060876086152 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
ORANGE , 50.40197 , 2.86674 ,62570, LENS , https://m.youtube.com/ ,416,32,22142596, 60.36 , 1.79 , 2.69 , 1.0 , 2.11 , 18566.75520536043 , 3.6606378559464567 , 72.81755008461045 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
FREE , 49.34607 , 5.39741 ,55170, VERDUN , https://www.impots.gouv.fr/accueil ,787,39,134902, 59.76 , 1.80 , 2.71 , 0.0 , 10.02 , 443.2443943379134 , 4.477216104423367 , 0.0, 0.0 , 0.0 , 0.0 , 0.0 , 0.0
ORANGE , 50.32563 , 3.39006 ,59651, VALENCIENNES , https://www.allocine.fr/ ,1593,29,1921822, 40.78 , 2.18 , 3.28 , 1.0 , 2.37 , 3095.762855847336 , 4.229184229299639 , 0.0, 0.0 , 0.0 , 0.0 , 0.0 , 0.0
SFR , 48.67519 , 2.37772 ,91687, ARRONDISSEMENT D'ÉVRY , https://www.messervices.etudiant.gouv.fr/envole/ ,698,74,940904, 50.18 , 2.00 , 2.99 , 1.0 , 3.09 , 56211.10971842307 , 3.845072147097823 , 0.0 , 0.0 , 0.0 , 0.0 , 24502.538 , 0.0
SFR , 43.62868 , 7.13308 ,6161, GRASSE , https://www.marmiton.org/recettes ,1331,104,2360785, 26.19 , 2.48 , 3.71 , 1.0 , 2.94 , 59795.18015822904 , 4.721293340562893 , 328.79975809160686 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
ORANGE , 50.35223 , 3.13047 ,59170, DOUAI , https://m.youtube.com/ ,416,32,22367015, 60.36 , 1.79 , 2.69 , 1.0 , 1.95 , 8546.10973048089 , 4.063770675454537 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2981.1665
